Matricula, Marca, Modelo, Ano, Dono, Codigo do Veiculo
64-VO-10, Audi, A1, 2004, 7613414, 290
52-FU-10, Audi, A3, 2002, 13815499, 303
50-QG-58, Audi, A3, 1996, 2416706, 305
39-VH-43, Audi, A3, 1993, 9615870, 308
40-JC-60, Audi, A1, 2007, 12497474, 312
57-EF-31, Audi, A1, 2002, 7744420, 317
99-KO-83, Audi, TT, 1990, 7083245, 324
29-JF-80, Audi, TT, 2006, 11982339, 326
70-DS-24, Audi, TT, 1998, 6460928, 329
76-HM-31, Audi, A5, 2003, 5334141, 332
78-MG-28, Audi, A3, 2002, 13782861, 333
60-AH-79, Audi, A4, 1991, 8024810, 340
32-VH-09, Audi, A5, 1997, 7799253, 354
45-JU-95, Audi, A6, 2006, 8602060, 366
82-SB-05, Audi, A1, 1994, 7498361, 368
59-LF-48, Audi, A2, 1998, 9218811, 370
78-HR-92, Audi, A8, 1999, 2052151, 374
65-KR-89, Audi, A1, 2004, 12947520, 377
00-CJ-69, Audi, A6, 2008, 3523251, 383
61-KS-26, Audi, A1, 2002, 11116757, 387
90-UA-30, Audi, A1, 1992, 12202385, 388
90-IG-50, Audi, TT, 1993, 12031542, 389
47-NF-08, Audi, A6, 1991, 14000372, 395
66-UE-10, Audi, TT, 2003, 12254200, 397
45-MC-86, Audi, A2, 2010, 9668224, 402
59-TP-66, Audi, A3, 1993, 8865520, 407
91-FP-10, Audi, A3, 2007, 6950513, 412
30-TQ-09, Audi, A2, 2000, 13368161, 413
45-MQ-31, Audi, TT, 1991, 12333874, 418
01-OM-16, Audi, A8, 1996, 9825897, 420
72-VM-70, Audi, A2, 2002, 9483384, 426
64-VS-18, Audi, A2, 1995, 6594237, 427
43-PS-11, Audi, TT, 1996, 3615288, 430
10-HC-75, Audi, A5, 1999, 14703118, 433
42-GE-48, Audi, A2, 1998, 7143512, 437
00-BF-67, Audi, TT, 2005, 4102819, 442
61-AQ-18, Audi, A5, 1998, 7371263, 443
07-NC-13, Audi, A4, 1997, 14070902, 444
82-MT-98, Audi, A2, 2005, 1481505, 448
01-ML-11, Audi, A2, 2003, 4073208, 450
03-AI-86, Audi, A3, 1992, 8736740, 455
96-GG-31, Audi, A3, 1990, 11842157, 456
51-FS-46, Audi, A6, 1997, 4766570, 457
43-NU-82, Audi, A6, 1995, 3720987, 464
73-EN-05, Audi, A1, 1991, 9178042, 465
42-EU-24, Audi, A6, 1991, 4765257, 470
43-TK-21, Audi, A5, 2000, 9470872, 472
09-GP-35, Audi, A3, 2008, 2578127, 475
60-IS-08, Audi, A4, 2003, 2912949, 486
79-MF-74, Audi, A3, 2004, 1845287, 493
57-VC-50, Audi, A4, 1995, 3739412, 498
84-CA-53, Audi, A8, 1997, 8395211, 499
59-LE-96, Audi, TT, 1994, 3332692, 505
93-NH-99, Audi, A3, 1991, 8824173, 509
12-FA-49, Audi, A6, 2000, 13681780, 512
09-SO-65, Audi, A4, 1998, 9465196, 518
18-EP-55, Audi, A3, 1999, 1270387, 520
20-TV-41, Audi, A1, 2001, 10807413, 541
25-IR-77, Audi, A3, 2006, 6969821, 550
88-ED-28, Audi, A2, 2000, 5573626, 551
07-TR-30, Audi, A1, 2002, 8827415, 552
14-OL-94, Audi, A1, 2010, 10630240, 554
55-KD-14, Audi, A1, 1994, 14393600, 557
23-MR-24, Audi, A8, 2005, 11267575, 561
19-NC-99, Audi, A6, 1991, 13181358, 571
24-MI-53, Audi, A1, 1992, 3696061, 586
49-LO-49, Audi, TT, 1998, 6959094, 603
21-RP-69, Audi, TT, 1993, 1246180, 606
21-SK-96, Audi, A2, 1998, 8481151, 612
59-FG-26, Audi, A4, 1990, 13418698, 618
77-AH-51, Audi, A2, 2009, 6267724, 625
36-FK-46, Audi, TT, 2003, 8917719, 658
08-FE-21, Audi, A4, 1999, 8204049, 662
60-CU-00, Audi, A5, 1991, 14163827, 665
62-HI-30, Audi, A1, 2002, 9655557, 667
52-NF-85, Audi, A1, 2005, 14766748, 669
30-RR-44, Audi, A8, 2007, 7452791, 673
71-HC-37, Audi, TT, 1999, 14932719, 677
49-LS-41, Audi, A3, 2006, 1395849, 678
62-MJ-08, Audi, A3, 1999, 9257626, 681
65-VT-01, Audi, A1, 2007, 11245797, 685
35-QD-88, Audi, A3, 1998, 10187451, 686
83-TN-16, Audi, A3, 2002, 4275666, 687
87-PQ-28, Audi, A2, 1999, 10725591, 688
83-PE-74, Audi, A1, 2000, 1569121, 692
25-NE-53, Audi, A8, 1991, 9012601, 696
59-AJ-93, Audi, A4, 1993, 5512227, 700
04-ST-68, Audi, A5, 2004, 13483015, 705
14-MG-60, Audi, A2, 2010, 6416882, 706
93-NS-99, Audi, A6, 1996, 12790589, 709
00-JD-47, Audi, A6, 2001, 9837943, 713
00-RL-48, Audi, A4, 2006, 12455450, 723
26-GM-50, Audi, A3, 1997, 10974920, 728
53-QK-42, Audi, A8, 2002, 10808803, 729
80-PS-29, Audi, A8, 1997, 7865923, 732
27-PO-71, Audi, A1, 1996, 10716554, 735
00-HC-01, Audi, A4, 2001, 8358595, 745
68-DO-35, Audi, A8, 1995, 10839259, 747
58-NB-35, Audi, A3, 2001, 13069793, 749
60-TB-80, Audi, A2, 1999, 11596176, 767
02-VR-05, Audi, A5, 2006, 1205322, 786
03-VA-91, Audi, A1, 1990, 11925037, 793
40-SV-20, Audi, TT, 2007, 14610573, 801
59-VE-58, Audi, A2, 1998, 14021746, 803
27-BD-11, Audi, A1, 1996, 13169644, 805
05-NK-54, Audi, A1, 1994, 8400997, 814
52-NO-16, Audi, A5, 1999, 7151091, 816
55-TK-57, Audi, A1, 2008, 1418579, 817
89-IQ-18, Audi, A5, 1996, 12090941, 819
86-IA-39, Audi, A6, 1990, 2208490, 822
56-FA-87, Audi, A2, 1993, 1395502, 827
20-KA-12, Audi, A6, 1999, 3388013, 844
83-TK-10, Audi, A3, 1990, 6282224, 851
29-JL-95, Audi, A8, 2005, 14090358, 852
73-CO-60, Audi, A6, 1993, 12592322, 862
39-UD-00, Audi, A5, 2003, 14521357, 885
65-DR-74, Audi, A6, 2005, 3083253, 892
15-AL-99, Audi, A1, 2010, 14611749, 907
87-IO-13, Audi, A4, 2009, 4376868, 908
24-KA-37, Audi, TT, 1991, 4477575, 910
51-SG-49, Audi, A1, 1993, 14637769, 916
34-PS-25, Audi, A3, 2002, 9670417, 918
48-FS-33, Audi, A6, 2000, 9581282, 919
20-QF-61, Audi, A4, 1992, 3960231, 921
82-GS-60, Audi, A3, 2005, 9410861, 926
65-GP-62, Audi, A6, 1998, 8297741, 931
92-NB-74, Audi, TT, 1999, 8853134, 932
67-KP-80, Audi, A1, 2001, 10573815, 938
22-HF-86, Audi, A3, 1990, 4176437, 939
68-UN-47, Audi, A8, 2010, 10327939, 949
10-EV-70, Audi, TT, 2009, 10081692, 950
55-GA-90, Audi, TT, 1990, 3105648, 963
32-LH-66, Audi, A8, 1999, 5653623, 970
97-FR-91, Audi, TT, 2005, 12701973, 976
31-PJ-29, Audi, A5, 2005, 7423235, 978
00-UK-96, Audi, A3, 1998, 3043837, 979
83-RR-64, Audi, A3, 2008, 7885505, 983
55-KR-82, Audi, A5, 1991, 3231584, 986
58-HO-58, Audi, A2, 2009, 9256372, 1025
86-PK-06, Audi, A6, 2000, 13917071, 1028
95-DD-40, Audi, A6, 2003, 9773232, 1030
29-MN-72, Audi, A3, 2002, 3895769, 1032
03-UC-97, Audi, A6, 1996, 3590188, 1033
48-PL-03, Audi, A6, 1998, 6121746, 1039
67-NK-54, Audi, A3, 1993, 2869509, 1044
38-OJ-08, Audi, A4, 2000, 6420646, 1045
07-ST-18, Audi, A6, 2010, 8644515, 1047
89-BS-53, Audi, TT, 2009, 8588338, 1048
80-UD-37, Audi, TT, 1999, 5057953, 1049
38-PD-04, Audi, A6, 2005, 3034855, 1050
20-MD-02, Audi, A5, 2004, 5571499, 1054
73-TJ-51, Audi, A1, 2006, 9439316, 1059
90-MQ-81, Audi, A8, 1990, 7167781, 1069
43-HR-55, Audi, A1, 2000, 14766748, 1071
76-KA-68, Audi, A6, 1994, 5082758, 1075
19-TR-01, Audi, A2, 2005, 13128653, 1078
79-LD-30, Audi, A6, 2002, 9751400, 1079
69-CF-72, Audi, A2, 2002, 3494675, 1086
82-IG-47, Audi, A4, 2010, 3841862, 1087
40-BR-87, Audi, A4, 2006, 3963453, 1093
08-MS-18, Audi, A4, 2001, 9298904, 1096
66-JH-76, Audi, A2, 1992, 5369455, 1101
23-MH-32, Audi, TT, 1991, 14085005, 1103
35-UM-75, Audi, A2, 1997, 9073174, 1112
88-FO-07, Audi, A3, 2010, 6390385, 1114
70-MA-47, Audi, A2, 1993, 5787263, 1119
86-GE-66, Audi, A3, 2004, 10725591, 1128
97-DO-85, Audi, TT, 1995, 2898851, 1132
47-JK-84, Audi, A2, 1990, 7781383, 1139
87-TL-11, Audi, A4, 2007, 5249497, 1140
31-NM-71, Audi, A2, 2003, 2133607, 1142
60-AQ-22, Audi, A6, 2007, 13371010, 1157
26-AL-83, Audi, TT, 2007, 8984398, 1174
10-DG-83, Audi, A4, 2003, 14713515, 1175
61-OJ-75, Audi, A3, 1998, 4035317, 1180
69-QM-91, Audi, TT, 2001, 13724573, 1181
11-DV-26, Audi, A8, 2007, 14962192, 1184
12-UV-49, Audi, A2, 1999, 14573823, 1185
05-PK-79, Audi, A8, 2005, 11351219, 1187
48-KB-94, Audi, A4, 1991, 14706695, 1193
38-PU-77, Audi, A6, 1991, 4986624, 1196
38-GR-00, Audi, A1, 2000, 1690879, 1203
65-BB-65, Audi, A3, 2007, 2654789, 1206
91-FA-58, Audi, A4, 1992, 6378291, 1216
33-DL-99, Audi, A3, 1990, 2348672, 1222
18-BG-36, Audi, A2, 1995, 7467110, 1227
62-KV-56, Audi, A5, 2007, 7944457, 1228
41-KM-89, Audi, A2, 2001, 8079467, 1244
50-SS-78, Audi, A8, 2010, 13159801, 1247
79-QE-93, Audi, A2, 2000, 14183316, 1254
68-NV-86, Audi, A2, 2008, 10138191, 1259
59-OJ-49, Audi, TT, 2009, 2506657, 1268
72-DT-25, Audi, TT, 2009, 13468669, 1277
32-TP-63, Audi, A1, 2006, 4564622, 1279
15-TF-98, Audi, TT, 1997, 12975301, 1280
43-EQ-29, Audi, A2, 1999, 1381123, 1284
28-MV-62, Audi, A8, 2006, 9304072, 1289
89-PN-87, Audi, A4, 1997, 14017567, 1291
82-JA-44, Audi, A8, 1997, 9922737, 1293
09-CR-83, Audi, A8, 1991, 11144143, 1294
78-GC-18, Audi, A8, 2001, 3607405, 1301
08-TL-79, Audi, A1, 1999, 5222950, 1308
93-GI-37, Audi, A6, 2003, 13768793, 1316
84-LQ-85, Audi, A6, 1998, 14931939, 1322
06-SB-81, Audi, A4, 2004, 14471655, 1324
03-RS-07, Audi, TT, 1992, 2438412, 1330
05-SK-61, Audi, A5, 2002, 6519026, 1331
62-OV-92, Audi, A3, 2001, 9711394, 1336
10-BA-29, Audi, A2, 1991, 2858535, 1343
70-BF-63, Audi, TT, 2004, 9412500, 1344
02-NH-34, Audi, A4, 1994, 1907493, 1346
10-GG-96, Audi, TT, 1991, 2769020, 1349
73-OU-49, Audi, A1, 2004, 13545037, 1353
46-KA-91, Audi, A5, 2010, 1090122, 1360
10-RL-90, Audi, A3, 1991, 9981754, 1364
33-SK-77, Audi, A2, 2003, 10798111, 1368
28-PE-84, Audi, A4, 1993, 4535841, 1369
91-HF-00, Audi, TT, 1992, 2393644, 1370
82-VR-85, Audi, A8, 1995, 14602920, 1371
43-KE-04, Audi, A8, 2008, 14568388, 1373
59-MQ-87, Audi, A6, 2007, 2078270, 1383
55-DR-16, Audi, TT, 1999, 4264089, 1406
76-MM-97, Audi, A8, 2007, 7068171, 1419
04-KE-90, Audi, TT, 2004, 3940354, 1421
68-QJ-79, Audi, A3, 1990, 12887584, 1427
71-BG-25, Audi, A5, 2006, 6158556, 1430
69-IO-84, Audi, A8, 1995, 1690879, 1433
03-IS-42, Audi, A5, 2006, 6242353, 1438
29-BA-38, Audi, A8, 1990, 11141517, 1455
11-JM-00, Audi, A5, 1998, 14108913, 1458
57-FI-48, Audi, TT, 1995, 10113172, 1464
64-EV-03, Audi, A1, 2006, 4856604, 1475
18-SE-61, Audi, A5, 2001, 7733594, 1478
42-JG-10, Audi, A4, 1990, 9172469, 1479
18-EI-34, Audi, A2, 2005, 12394799, 1480
43-DJ-95, Audi, A1, 1992, 7041288, 1484
92-OA-65, Audi, A6, 1994, 11092089, 1489
19-IR-17, Audi, A3, 1992, 14379405, 1493
76-ID-96, Audi, A3, 2005, 5488784, 1494
98-SO-35, Audi, A6, 1998, 11862177, 1495
75-SU-58, Audi, A8, 1995, 11982339, 1503
21-JS-91, Audi, A8, 1994, 8085080, 1511
13-QK-04, Audi, A6, 1998, 14749000, 1517
98-MU-01, Audi, A6, 1994, 7714405, 1527
26-CK-86, Audi, A2, 2005, 2037024, 1528
99-FB-60, Audi, TT, 1994, 2339907, 1529
90-NK-35, Audi, A8, 1998, 11679761, 1530
25-RD-83, Audi, A4, 2009, 11287102, 1534
84-FA-72, Audi, TT, 1990, 12298851, 1535
63-MN-15, Audi, TT, 1995, 11476498, 1538
77-PG-87, Audi, A2, 1996, 8492564, 1550
94-TA-93, Audi, A5, 1995, 3892735, 1555
64-CS-26, Audi, A6, 2010, 6490163, 1558
87-FN-04, Audi, A3, 1998, 9769809, 1562
19-CL-85, Audi, A6, 1995, 8781734, 1567
52-UN-11, Audi, A1, 1994, 9872355, 1573
35-BO-91, Audi, A3, 2005, 4155121, 1598
34-EV-41, Audi, A6, 2001, 10738215, 1599
89-CC-24, Audi, A3, 2007, 3789603, 1600
49-CH-93, Audi, A4, 1991, 3662537, 1610
08-KN-91, Audi, A5, 2008, 4437897, 1625
01-OR-36, Audi, A2, 2005, 9539351, 1634
84-CI-13, Audi, A1, 2005, 10288826, 1640
71-LN-53, Audi, A4, 2003, 3277754, 1650
30-DG-42, Audi, A3, 1994, 11921681, 1658
36-FR-50, Audi, A6, 2005, 4012697, 1662
96-CB-17, Audi, A2, 2005, 8889947, 1663
55-EO-76, Audi, A4, 2002, 5133098, 1668
81-IL-87, Audi, A5, 1993, 8124076, 1679
87-PA-50, Audi, A4, 2007, 3353146, 1681
75-KD-50, Audi, A2, 1996, 6136422, 1688
11-SS-50, Audi, A5, 2008, 12292488, 1689
08-JQ-56, Audi, A6, 2001, 9805117, 1690
84-MC-87, Audi, A2, 2001, 9172173, 1691
72-ON-90, Audi, A5, 2000, 13786586, 1693
52-DO-44, Audi, A2, 2001, 13649164, 1695
45-TQ-61, Audi, A5, 1993, 12577727, 1699
62-GR-95, Audi, TT, 1991, 14718403, 1701
60-IR-24, Audi, TT, 2004, 8415637, 1713
73-UI-13, Audi, A1, 2002, 4999297, 1725
46-TU-89, Audi, A2, 2002, 10128920, 1728
49-HR-61, Audi, A3, 1996, 5086270, 1739
80-MJ-69, Audi, TT, 1992, 13755823, 1743
58-NL-93, Audi, A6, 2002, 7235696, 1744
40-FH-10, Audi, A3, 1998, 10485864, 1745
68-RM-94, Audi, A3, 2006, 5897878, 1746
26-BE-45, Audi, A4, 2008, 10589118, 1749
27-NS-33, Audi, A8, 2007, 4727854, 1751
92-RK-10, Audi, A2, 2010, 7006674, 1752
08-AB-27, Audi, A4, 1993, 8509863, 1753
66-LI-16, Audi, A5, 1991, 13745845, 1754
28-PL-86, Audi, A6, 2010, 3018777, 1758
44-FD-88, Audi, A2, 1991, 11837835, 1762
60-BJ-29, Audi, A6, 2009, 3543892, 1772
47-FO-53, Audi, A4, 2008, 2708083, 1775
37-UC-15, Audi, A3, 1996, 9216423, 1784
28-TI-98, Audi, A2, 2009, 7235696, 1796
77-QG-82, Audi, A2, 1998, 7840563, 1806
82-DT-59, Audi, TT, 2000, 10948574, 1807
40-HK-68, Audi, A5, 2003, 3507475, 1809
94-DV-41, Audi, A5, 1994, 14661528, 1816
69-DT-31, Audi, A8, 1995, 4722167, 1819
86-RD-68, Audi, A5, 1996, 5298404, 1820
06-RC-20, Audi, TT, 1998, 4978126, 1824
20-PM-41, Audi, A5, 2007, 6277214, 1828
76-QD-47, Audi, A4, 2000, 4722691, 1839
80-CE-44, Audi, A4, 2005, 3627849, 1843
90-CU-22, Audi, A2, 2006, 10487206, 1845
11-HF-08, Audi, A2, 2007, 1783963, 1850
03-GC-29, Audi, A4, 1995, 5787588, 1860
43-LF-02, Audi, A5, 2009, 10305517, 1863
05-IO-44, Audi, A5, 1995, 14031631, 1878
44-QL-51, Audi, A2, 2000, 9410861, 1883
45-MD-75, Audi, A2, 1990, 7600591, 1885
17-TQ-23, Audi, A4, 2010, 10961032, 1889
01-MB-49, Audi, A8, 1993, 12615952, 1893
58-QO-06, Audi, A8, 1990, 9295898, 1897
42-AM-95, Audi, A5, 2003, 14194414, 1898
04-OL-70, Audi, A1, 1999, 4440878, 1899
74-AT-40, Audi, A4, 2007, 2596197, 1900
79-JH-69, Audi, A4, 1998, 13048635, 1904
88-HN-78, Audi, A1, 2007, 14810706, 1905
13-IT-35, Audi, TT, 2010, 2895691, 1915
38-DV-56, Audi, A5, 2008, 14206296, 1919
33-RB-12, Audi, A6, 1991, 8142906, 1920
78-EU-69, Audi, A5, 2004, 14608285, 1928
27-OV-07, Audi, A4, 2007, 11346014, 1930
65-EE-58, Audi, A4, 1997, 14342646, 1935
69-KP-69, Audi, A4, 1990, 11295271, 1938
53-TF-74, Audi, A2, 1998, 12688629, 1940
34-TL-75, Audi, A8, 1999, 8689571, 1941
63-BN-01, Audi, A2, 1998, 12604925, 1947
32-MD-50, Audi, A5, 2000, 13947311, 1948
76-CO-37, Audi, A3, 2005, 7392458, 1950
76-IT-10, Audi, A1, 2005, 7626369, 1955
18-AH-96, Audi, A4, 1997, 5815672, 1959
21-IS-38, Audi, A6, 2002, 10656641, 1967
07-OA-84, Audi, A4, 2002, 4346960, 1970
66-OV-52, Audi, A8, 1999, 6808352, 1977
02-OE-07, Audi, A5, 1991, 11053877, 1980
19-BF-06, Audi, A8, 2000, 7734550, 1984
05-IJ-16, Audi, A8, 1991, 7242213, 1991
06-KJ-00, Audi, A2, 2007, 3379066, 1993
71-FI-73, Audi, A1, 1991, 6934458, 2000
95-KI-24, Audi, A2, 2006, 6514918, 2001
62-VJ-88, Audi, A8, 2006, 9513173, 2011
14-RL-37, Audi, A8, 2010, 10620430, 2015
38-UA-72, Audi, A6, 1993, 9041772, 2024
01-SO-72, Audi, A3, 2003, 8744366, 2034
16-UL-25, Audi, A5, 1994, 10404269, 2046
75-JO-62, Audi, A5, 1995, 11010576, 2054
11-BC-36, Audi, A6, 2002, 1628751, 2058
75-NA-14, Audi, TT, 1994, 12924108, 2061
19-TP-35, Audi, A4, 2000, 7253599, 2066
39-JG-21, Audi, A8, 2002, 4187595, 2069
16-HS-74, Audi, A2, 1991, 7473405, 2073
72-LM-06, Audi, A3, 1997, 1814849, 2075
95-BE-86, Audi, A8, 1996, 7396847, 2081
80-TA-55, Audi, A5, 2007, 3816624, 2082
42-GJ-87, Audi, A4, 1998, 11426112, 2085
54-AI-03, Audi, A6, 1998, 11364647, 2087
66-UF-26, Audi, A4, 2002, 14466778, 2088
07-IH-93, Audi, A3, 2005, 7876125, 2089
48-BD-91, Audi, A6, 2010, 9602823, 2094
71-VF-59, Audi, TT, 2004, 7542158, 2096
58-RM-20, Audi, A5, 2006, 9313877, 2102
84-AJ-12, Audi, A5, 1995, 2052151, 2106
07-JC-06, Audi, A6, 2009, 11141517, 2107
37-UI-56, Audi, A1, 2002, 13730994, 2112
66-KT-09, Audi, A1, 2008, 9304072, 2116
20-QG-75, Audi, A4, 1999, 1980636, 2117
29-UL-11, Audi, TT, 2007, 13757419, 2126
37-AR-49, Audi, A6, 2010, 6518985, 2128
74-AB-02, Audi, TT, 1999, 14319320, 2129
72-AN-36, Audi, A3, 1999, 6213621, 2138
57-AK-67, Audi, TT, 2005, 3863667, 2150
71-CG-21, Audi, A8, 2007, 8318123, 2157
65-BD-70, Audi, A2, 1992, 1747349, 2160
70-NE-23, Audi, A1, 2008, 9026460, 2163
97-DT-77, Audi, A3, 2002, 2394024, 2168
36-PM-29, Audi, A8, 1993, 5638538, 2179
54-UP-67, Audi, TT, 2009, 7739492, 2180
43-FI-29, Audi, A8, 1994, 2553699, 2189
97-QI-61, Audi, A2, 1994, 6186719, 2199
17-JI-33, Audi, A5, 1993, 2785946, 2209
00-PQ-95, Audi, A6, 2002, 11076171, 2210
16-DQ-72, Audi, A5, 2007, 1123924, 2211
88-TJ-13, Audi, A5, 2007, 8138447, 2214
68-HF-12, Audi, A4, 2004, 11298748, 2220
50-LF-20, Audi, A5, 2009, 3561042, 2222
68-RU-60, Audi, A2, 2009, 14599637, 2229
44-TO-73, Audi, A8, 1991, 11374823, 2230
39-GT-00, Audi, A3, 1991, 14519117, 2232
67-QJ-64, Audi, A3, 2003, 2728176, 2233
36-RG-71, Audi, A5, 2005, 5999916, 2236
17-KU-83, Audi, A2, 2007, 4069961, 2248
24-IN-72, Audi, A1, 2007, 5135159, 2249
82-RQ-81, Audi, A1, 2010, 8570683, 2252
94-QP-93, Audi, TT, 1990, 12314237, 2264
09-FD-28, Audi, A5, 2001, 2994444, 2265
18-VR-81, Audi, A1, 1998, 6648019, 2271
14-OG-40, Audi, A5, 2007, 9940309, 2280
79-EE-92, Audi, A1, 2008, 7033861, 2281
24-MJ-67, Audi, A4, 2002, 11634628, 2283
81-EJ-39, Audi, A5, 2005, 13695728, 2285
37-SV-15, Audi, A4, 2007, 6030063, 2290
30-PS-22, Audi, A4, 1994, 3205741, 2291
62-SL-16, Audi, A6, 1993, 7785679, 2296
48-MD-03, Audi, A6, 2010, 10181085, 2302
58-BT-78, Audi, A4, 1996, 12674332, 2304
77-LR-11, Audi, A4, 2009, 10810415, 2306
35-TF-68, Audi, A8, 2009, 2580977, 2313
89-CS-75, Audi, TT, 2007, 4074120, 2327
87-BI-18, Audi, A2, 1999, 14181617, 2339
96-GJ-58, Audi, TT, 1996, 4738850, 2346
65-KV-56, Audi, A1, 1991, 11550812, 2349
41-LO-22, Audi, A1, 2008, 14155045, 2353
69-LH-70, Audi, A4, 2001, 8296888, 2357
28-DH-43, Audi, A2, 2007, 13360597, 2369
34-PB-76, Audi, TT, 1990, 9468629, 2375
65-MF-19, Audi, A1, 1997, 1447328, 2376
55-KF-53, Audi, TT, 2002, 6095223, 2380
79-AE-91, Audi, A5, 1993, 10194302, 2381
06-JP-78, Audi, A6, 2005, 11589199, 2382
07-BT-75, Audi, A8, 2003, 10525302, 2383
93-DN-80, Audi, TT, 1992, 12064175, 2388
62-RG-64, Audi, A1, 2007, 14631616, 2392
99-LH-56, Audi, A8, 2010, 13425366, 2394
17-EU-36, Audi, A1, 2002, 9708795, 2397
11-PO-16, Audi, A1, 2010, 6018981, 2402
42-EN-51, Audi, TT, 2005, 14791471, 2407
65-IS-96, Audi, A2, 1994, 7002573, 2408
36-OR-87, Audi, A4, 2009, 2228417, 2409
05-BB-83, Audi, A8, 2009, 3092709, 2413
00-OU-14, Audi, TT, 2009, 11853212, 2414
38-TM-70, Audi, A4, 1991, 10145745, 2415
95-GU-22, Audi, A8, 2005, 13311276, 2416
49-CQ-10, Audi, TT, 2005, 11859853, 2418
36-OI-27, Audi, A2, 1999, 13069793, 2422
18-VA-60, Audi, A6, 2002, 13866772, 2423
84-QM-86, Audi, A4, 2010, 11955474, 2426
34-LT-30, Audi, A6, 2006, 1846082, 2444
34-SG-39, Audi, A6, 2001, 14030276, 2445
32-FR-53, Audi, A4, 1995, 1849453, 2446
50-HA-40, Audi, A8, 1997, 7732785, 2456
34-NU-52, Audi, A3, 2002, 1403600, 2457
96-SL-64, Audi, A1, 2005, 7932580, 2469
75-PT-02, Audi, A1, 1990, 4035317, 2470
12-JD-06, Audi, A6, 1994, 5957126, 2471
13-MH-03, Audi, A5, 1994, 1331527, 2481
40-JQ-58, Audi, A3, 2004, 2365548, 2485
08-KM-16, Audi, A5, 2005, 6475402, 2486
11-HU-81, Audi, A3, 1996, 5635852, 2493
14-CC-58, Audi, A1, 1997, 1902362, 2513
64-PV-61, Audi, A6, 1993, 10188344, 2515
54-IO-05, Audi, A5, 1991, 4765257, 2517
16-TL-25, Audi, A2, 1992, 5966538, 2521
55-VL-15, Audi, A5, 2007, 10327939, 2523
80-SI-65, Audi, A8, 1990, 6181068, 2526
52-RP-64, Audi, A8, 1991, 10494260, 2528
93-VC-23, Audi, A3, 1993, 4264089, 2531
91-HC-10, Audi, A1, 2003, 10401529, 2533
58-KQ-62, Audi, A5, 2002, 1299262, 2540
96-VP-53, Audi, A1, 2008, 6691463, 2542
13-MK-37, Audi, A1, 1998, 9990674, 2553
48-AS-54, Audi, TT, 1994, 8647965, 2554
33-OA-27, Audi, A1, 2008, 8283986, 2562
87-IQ-36, Audi, A4, 2004, 5044423, 2563
88-MS-32, Audi, A5, 1991, 5125343, 2565
38-JO-63, Audi, A6, 1995, 11033803, 2568
33-PM-58, Audi, A2, 1994, 3307704, 2573
96-MN-42, Audi, A2, 2001, 9016434, 2581
52-DU-93, Audi, A3, 2003, 2896917, 2584
60-QQ-40, Audi, A2, 2008, 6123285, 2589
52-TN-92, Audi, A5, 2003, 10341564, 2590
80-ML-24, Audi, A5, 2009, 10414537, 2591
17-MH-34, Audi, A4, 1999, 2249879, 2594
21-NL-86, Audi, A3, 2009, 8984398, 2600
30-TG-76, Audi, A6, 2008, 12281398, 2608
53-RE-43, Audi, A1, 2004, 7252956, 2615
01-SE-11, Audi, A6, 1994, 6731001, 2616
42-PC-59, Audi, A3, 2010, 12615952, 2626
93-OE-57, Audi, A6, 1995, 11033803, 2635
15-KJ-95, Audi, A3, 2007, 11567594, 2642
74-FN-10, Audi, A8, 1991, 3196794, 2645
66-NV-21, Audi, A1, 1991, 8918056, 2646
48-GT-34, Audi, A1, 2008, 14043461, 2649
82-CP-53, Audi, A1, 2000, 14756258, 2651
06-HQ-37, Audi, A1, 2004, 4324140, 2652
78-UF-95, Audi, A2, 2000, 5877724, 2653
44-QI-53, Audi, A3, 2005, 9599454, 2661
42-RT-89, Audi, A4, 1998, 3172213, 2664
86-KF-55, Audi, A4, 1992, 10645027, 2665
17-TS-13, Audi, A5, 2007, 9472741, 2666
14-BB-60, Audi, A6, 1995, 6318944, 2670
87-DT-06, Audi, A3, 2004, 11363534, 2688
80-SQ-94, Audi, A8, 1995, 14042735, 2690
01-SF-71, Audi, A3, 2009, 5007039, 2691
77-NH-25, Audi, A5, 2003, 10039992, 2694
85-AJ-08, Audi, A3, 1992, 1548834, 2696
50-HD-08, Audi, TT, 2003, 2831146, 2697
30-FU-73, Audi, A2, 1996, 13599946, 2698
88-TL-43, Audi, A2, 2001, 14666336, 2704
80-MJ-47, Audi, A2, 2002, 6366589, 2710
53-KG-04, Audi, A1, 2003, 7429329, 2713
82-KG-02, Audi, A2, 2007, 3119978, 2718
30-HK-60, Audi, A8, 2010, 5094909, 2721
20-JF-71, Audi, A2, 2007, 1714033, 2722
61-EJ-46, Audi, A6, 2002, 6794049, 2738
37-BV-73, Audi, A1, 2006, 5015978, 2742
88-NF-70, Audi, A8, 1992, 9272713, 2744
22-HS-20, Audi, A1, 2004, 4220340, 2747
60-FQ-06, Audi, A4, 2003, 5135371, 2750
32-CE-83, Audi, A1, 2006, 1374844, 2761
01-MG-79, Audi, A5, 2010, 10312534, 2766
48-MG-33, Audi, A3, 1990, 13551299, 2768
24-KB-61, Audi, A1, 2007, 3054722, 2769
69-JE-89, Audi, A8, 2003, 10219812, 2775
38-CD-15, Audi, A5, 2010, 8857381, 2783
87-BL-77, Audi, A2, 1994, 12764659, 2785
